Vrpolje,45.2106,18.4056,Croatia,HR,Brodsko-Posavska Županija,minor,1759,1759
Preseka,45.9667,16.3833,Croatia,HR,Zagrebačka Županija,minor,1670,1670
Kneževi Vinogradi,45.7500,18.7300,Croatia,HR,Osječko-Baranjska Županija,minor,1657,1657
Feričanci,45.5333,17.9833,Croatia,HR,Osječko-Baranjska Županija,minor,1626,1626
Cernik,45.2900,17.3800,Croatia,HR,Brodsko-Posavska Županija,minor,1607,1607
Nijemci,45.1333,19.0333,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1605,1605
Okučani,45.2603,17.1989,Croatia,HR,Brodsko-Posavska Županija,minor,1598,1598
Brodski Stupnik,45.1670,17.8000,Croatia,HR,Brodsko-Posavska Županija,minor,1586,1586
Breznički Hum,46.1189,16.2739,Croatia,HR,Varaždinska Županija,minor,1575,1575
Staro Petrovo Selo,45.2333,17.5167,Croatia,HR,Brodsko-Posavska Županija,minor,1572,1572
Bakar,45.3167,14.5333,Croatia,HR,Primorsko-Goranska Županija,minor,1566,1566
Postire,43.3757,16.6298,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1559,1559
Pučišće,43.3475,16.7300,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1529,1529
Koška,45.5500,18.2833,Croatia,HR,Osječko-Baranjska Županija,minor,1525,1525
Lopar,44.8306,14.7306,Croatia,HR,Primorsko-Goranska Županija,minor,1524,1524
Trpinja,45.4167,18.9000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1516,1516
Negoslavci,45.2800,19.0000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1463,1463
Bedenica,46.0223,16.2639,Croatia,HR,Zagrebačka Županija,minor,1432,1432
Satnica Ðakovačka,45.3558,18.3781,Croatia,HR,Osječko-Baranjska Županija,minor,1432,1432
Semeljci,45.3667,18.5500,Croatia,HR,Osječko-Baranjska Županija,minor,1285,1285
Viljevo,45.7500,18.0667,Croatia,HR,Osječko-Baranjska Županija,minor,1218,1218
Donja Motičina,45.5000,18.0167,Croatia,HR,Osječko-Baranjska Županija,minor,1198,1198
Voćin,45.6178,17.5478,Croatia,HR,Virovitičko-Podravska Županija,minor,1191,1191
Viškovci,45.3500,18.4667,Croatia,HR,Osječko-Baranjska Županija,minor,1144,1144
Vladislavci,45.4667,18.5667,Croatia,HR,Osječko-Baranjska Županija,minor,1073,1073
Ernestinovo,45.4500,18.6600,Croatia,HR,Osječko-Baranjska Županija,minor,1047,1047
Markušica,45.3738,18.7062,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1009,1009
Zagorska Sela,46.0969,15.6350,Croatia,HR,Krapinsko-Zagorska Županija,minor,996,996
Čeminac,45.6867,18.6683,Croatia,HR,Osječko-Baranjska Županija,minor,968,968
Zdenci,45.5892,17.9503,Croatia,HR,Virovitičko-Podravska Županija,minor,930,930
Garčin,45.1817,18.1856,Croatia,HR,Brodsko-Posavska Županija,minor,911,911
Oprisavci,45.1500,18.2333,Croatia,HR,Brodsko-Posavska Županija,minor,886,886
Trpanj,43.0080,17.2734,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,871,871
Lovas,45.2333,19.1667,Croatia,HR,Vukovarsko-Srijemska Županija,minor,869,869
Podgorač,45.4667,18.2167,Croatia,HR,Osječko-Baranjska Županija,minor,866,866
Mikleuš,45.6200,17.8000,Croatia,HR,Virovitičko-Podravska Županija,minor,840,840
Marjanci,45.6667,18.3000,Croatia,HR,Osječko-Baranjska Županija,minor,838,838
Nova Bukovica,45.6600,17.7669,Croatia,HR,Virovitičko-Podravska Županija,minor,802,802
Podravska Moslavina,45.7853,17.9819,Croatia,HR,Osječko-Baranjska Županija,minor,798,798
Povljana,44.3467,15.1156,Croatia,HR,Zadarska Županija,minor,759,759
Tordinci,45.3667,18.8000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,739,739
Petlovac,45.7583,18.5281,Croatia,HR,Osječko-Baranjska Županija,minor,714,714
Gornji Bogičevci,45.2600,17.2300,Croatia,HR,Brodsko-Posavska Županija,minor,699,699
Čađavica,45.7425,17.8550,Croatia,HR,Virovitičko-Podravska Županija,minor,678,678
Punitovci,45.4331,18.4164,Croatia,HR,Osječko-Baranjska Županija,minor,635,635
Čaglin,45.3500,17.9833,Croatia,HR,Požeško-Slavonska Županija,minor,591,591
Drenje,45.3800,18.2800,Croatia,HR,Osječko-Baranjska Županija,minor,583,583
Dragalić,45.2500,17.2833,Croatia,HR,Brodsko-Posavska Županija,minor,559,559
Sopje,45.8011,17.7425,Croatia,HR,Virovitičko-Podravska Županija,minor,524,524
Draž,45.8422,18.7886,Croatia,HR,Osječko-Baranjska Županija,minor,505,505
Bebrina,45.1000,17.8333,Croatia,HR,Brodsko-Posavska Županija,minor,494,494
Vrbje,45.1833,17.4167,Croatia,HR,Brodsko-Posavska Županija,minor,455,455
Podcrkavlje,45.2167,18.0167,Croatia,HR,Brodsko-Posavska Županija,minor,415,415
Tounj,45.2528,15.3260,Croatia,HR,Karlovačka Županija,minor,379,379
Šodolovci,45.3997,18.6209,Croatia,HR,Osječko-Baranjska Županija,minor,338,338
Stara Gradiška,45.1500,17.2500,Croatia,HR,Brodsko-Posavska Županija,minor,327,327
Tompojevci,45.2333,19.1000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,308,308
Kumrovec,46.0856,15.6778,Croatia,HR,Krapinsko-Zagorska Županija,minor,304,304
Levanjska Varoš,45.3167,18.1833,Croatia,HR,Osječko-Baranjska Županija,minor,303,303
Klakar,45.1000,18.1333,Croatia,HR,Brodsko-Posavska Županija,minor,272,272
Magadenovac,45.6608,18.1878,Croatia,HR,Osječko-Baranjska Županija,minor,109,109
Prgomet,43.6160,16.2300,Croatia,HR,Splitsko-Dalmatinska Županija,minor,105,105
Varaždin,46.3000,16.3333,Croatia,HR,Varaždinska Županija,admin,,
Koprivnica,46.1500,16.8167,Croatia,HR,Koprivničko-Križevačka Županija,admin,,
Požega,45.3314,17.6744,Croatia,HR,Požeško-Slavonska Županija,admin,,
Krapina,46.1589,15.8744,Croatia,HR,Krapinsko-Zagorska Županija,admin,,
Pazin,45.2392,13.9386,Croatia,HR,Istarska Županija,admin,,
Podstrana,43.4800,16.5800,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Viškovo,45.3600,14.3800,Croatia,HR,Primorsko-Goranska Županija,minor,,
Sračinec,46.3294,16.2789,Croatia,HR,Varaždinska Županija,minor,,
Solin,43.5394,16.4831,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Kaštel Sućurac,43.5503,16.4264,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Zaprešić,45.8500,15.8000,Croatia,HR,Zagrebačka Županija,minor,,
Brdovec,45.8703,15.7644,Croatia,HR,Zagrebačka Županija,minor,,
Dugi Rat,43.4461,16.6389,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sveta Nedjelja,45.7983,15.7806,Croatia,HR,Zagrebačka Županija,minor,,
Okrug Gornji,43.4969,16.2200,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Kostrena,45.3011,14.5056,Croatia,HR,Primorsko-Goranska Županija,minor,,
Vinkovci,45.2833,18.8000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,,
Dugo Selo,45.8000,16.2333,Croatia,HR,Zagrebačka Županija,minor,,
Šenkovec,46.4100,16.4200,Croatia,HR,Međimurska Županija,minor,,
Makarska,43.2931,17.0200,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Strahoninec,46.3689,16.4150,Croatia,HR,Međimurska Županija,minor,,
Metković,43.0500,17.6500,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Bibinje,44.0717,15.2878,Croatia,HR,Zadarska Županija,minor,,
Petrovsko,46.1600,15.8400,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Donji Seget,43.5167,16.2333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sveti Ilija,46.2450,16.3381,Croatia,HR,Varaždinska Županija,minor,,
