Horiult,45.2000,100.7667,Mongolia,MN,Bayanhongor,minor,,
Tsetserleg,49.2667,94.8500,Mongolia,MN,Uvs,minor,,
Bugat,49.5333,93.8167,Mongolia,MN,Uvs,minor,,
Javarthushuu,49.1500,112.7333,Mongolia,MN,Dornod,minor,,
Hujirt,46.6000,104.5833,Mongolia,MN,Töv,minor,,
Jargalant,47.1500,99.6333,Mongolia,MN,Bayanhongor,minor,,
Jargalant,45.7000,97.1667,Mongolia,MN,Govĭ-Altay,minor,,
Mardzad,45.9500,102.0500,Mongolia,MN,Övörhangay,minor,,
Tavin,46.4167,105.7833,Mongolia,MN,Dundgovĭ,minor,,
Holboo,48.5833,95.4500,Mongolia,MN,Dzavhan,minor,,
Höhöö,50.4728,100.9278,Mongolia,MN,Hövsgöl,minor,,
Tegsh,48.7333,96.0000,Mongolia,MN,Dzavhan,minor,,
Sangiyn Dalay,46.0000,104.9500,Mongolia,MN,Dundgovĭ,minor,,
Tsahir,48.0797,98.8517,Mongolia,MN,Arhangay,minor,,
Mandal,48.6311,103.5292,Mongolia,MN,Bulgan,minor,,
Naranbulag,49.3667,92.5667,Mongolia,MN,Uvs,minor,,
Ovoot,45.3000,113.8667,Mongolia,MN,Sühbaatar,minor,,
Sergelen,46.2000,111.8167,Mongolia,MN,Sühbaatar,minor,,
Bayasgalant,46.9833,112.0500,Mongolia,MN,Sühbaatar,minor,,
Jibhalant,47.7833,112.1167,Mongolia,MN,Hentiy,minor,,
Shireet,45.7167,112.3500,Mongolia,MN,Sühbaatar,minor,,
Eg-Uur,50.1094,101.5753,Mongolia,MN,Hövsgöl,minor,,
Hovd,44.6667,102.3833,Mongolia,MN,Övörhangay,minor,,
Höhbürd,46.2667,100.4667,Mongolia,MN,Bayanhongor,minor,,
Balgatay,46.9000,97.1500,Mongolia,MN,Dzavhan,minor,,
Örgön,44.7333,100.3667,Mongolia,MN,Bayanhongor,minor,,
Tsalgar,49.7167,93.2667,Mongolia,MN,Uvs,minor,,
Dzelter,50.3156,105.0458,Mongolia,MN,Selenge,minor,,
Altanbulag,49.3000,96.3333,Mongolia,MN,Dzavhan,minor,,
Bugat,49.0667,103.6658,Mongolia,MN,Bulgan,minor,,
Bayan,46.2500,110.1667,Mongolia,MN,Dornogovĭ,minor,,
Dzüünbulag,46.3833,112.1833,Mongolia,MN,Sühbaatar,minor,,
Tsagaannuur,51.3564,99.3444,Mongolia,MN,Hövsgöl,minor,,
Urdgol,47.8333,92.6500,Mongolia,MN,Hovd,minor,,
Dzöölön,51.1125,99.6694,Mongolia,MN,Hövsgöl,minor,,
Dzuunmod,48.2125,97.3786,Mongolia,MN,Dzavhan,minor,,
Seer,48.3167,92.6333,Mongolia,MN,Hovd,minor,,
Bayanbulag,46.8000,98.1000,Mongolia,MN,Bayanhongor,minor,,
Bayanbulag,45.0000,98.9167,Mongolia,MN,Bayanhongor,minor,,
Buyant,46.1500,98.6667,Mongolia,MN,Bayanhongor,minor,,
Ingettolgoy,49.4617,103.9742,Mongolia,MN,Bulgan,minor,,
Harmod,50.3333,91.6667,Mongolia,MN,Uvs,minor,,
Halban,49.5000,97.6000,Mongolia,MN,Hövsgöl,minor,,
Üyönch,46.0500,92.0167,Mongolia,MN,Hovd,minor,,
Ulaan-Ereg,46.9000,109.7500,Mongolia,MN,Hentiy,minor,,
Bayan-Ovoo,49.0167,111.6333,Mongolia,MN,Hentiy,minor,,
Darvi,46.4500,94.1167,Mongolia,MN,Govĭ-Altay,minor,,
Modot,47.7500,109.0500,Mongolia,MN,Hentiy,minor,,
Oygon,49.0000,96.5500,Mongolia,MN,Dzavhan,minor,,
Bayshint,47.4167,104.8167,Mongolia,MN,Töv,minor,,
Hoolt,45.5333,102.9833,Mongolia,MN,Övörhangay,minor,,
Amardalay,46.1333,106.3833,Mongolia,MN,Dundgovĭ,minor,,
Buyanbat,46.9833,95.9500,Mongolia,MN,Govĭ-Altay,minor,,
Teshig,49.9553,102.6133,Mongolia,MN,Bulgan,minor,,
Höövör,48.4000,113.4333,Mongolia,MN,Dornod,minor,,
Bayasgalant,47.1833,108.2500,Mongolia,MN,Töv,minor,,
Tsagaanchuluut,47.0833,96.6500,Mongolia,MN,Dzavhan,minor,,
Songino,48.8833,95.8833,Mongolia,MN,Dzavhan,minor,,
Bulgan,46.9500,93.6333,Mongolia,MN,Hovd,minor,,
Altay,49.6833,96.3333,Mongolia,MN,Dzavhan,minor,,
Haliun,45.9333,96.1500,Mongolia,MN,Govĭ-Altay,minor,,
Möndööhöö,49.4000,94.2333,Mongolia,MN,Uvs,minor,,
Chonogol,45.9000,115.3667,Mongolia,MN,Sühbaatar,minor,,
Arguut,45.4500,102.4167,Mongolia,MN,Övörhangay,minor,,
Bayan,47.9167,112.9500,Mongolia,MN,Dornod,minor,,
Bayan,46.9833,95.1833,Mongolia,MN,Govĭ-Altay,minor,,
Altanbulag,47.7000,106.4000,Mongolia,MN,Töv,minor,,
Ongi,45.4500,103.9000,Mongolia,MN,Dundgovĭ,minor,,
Tsant,46.1833,106.7167,Mongolia,MN,Dundgovĭ,minor,,
Tseel,45.5667,95.8667,Mongolia,MN,Govĭ-Altay,minor,,
Hongor,45.1667,113.6667,Mongolia,MN,Sühbaatar,minor,,
Bayanbulag,47.8667,109.9167,Mongolia,MN,Hentiy,minor,,
Uldz,48.6667,111.9833,Mongolia,MN,Hentiy,minor,,
Havirga,45.6667,113.0833,Mongolia,MN,Sühbaatar,minor,,
